name	mean_price_str	address	lat	lon	mean_price_num	type
Art Cross, кафе	Средний чек 300 р	Санкт-Петербург, Перекупной переулок, 12	59.9290953	30.3779996881954	300	cafe
Антракт, кафе	Средний чек 700 р	Санкт-Петербург, Садовая, 22/2	59.9328606	30.3343413	700	cafe
Африка, арт-кафе	Средний чек 280 р	Санкт-Петербург, Печатника Григорьева, 13	59.9185923	30.3484824	280	cafe
Атмосфера, кафе	Средний чек 800 р	Санкт-Петербург, Чкаловский проспект, 8-10	59.9593686	30.2884958	800	cafe
Алмаз, кафе	Средний чек 450 р	Санкт-Петербург, Заставская, 21 к2	59.8887475	30.3222548	450	cafe
Арго, кафе	Средний чек 1200 р	Санкт-Петербург, Сикейроса, 11 к1	60.0340263	30.3294115	1200	cafe
Алазани, гранд-кафе	Средний чек 1000 р	Санкт-Петербург, Вознесенский проспект, 25	59.9261821	30.3078167929487	1000	cafe
Ботаника, кафе-ресторан	Средний чек 850 р	Санкт-Петербург, Пестеля, 7	59.9422513	30.3412764	850	cafe
Базилик, кафе	Средний чек 300 р	Санкт-Петербург, Елизарова проспект, 19	59.8957416	30.4207415	300	cafe
BarBQ, кафе-бар	Средний чек 550 р	Санкт-Петербург, Коммуны, 63	59.9648373	30.4865226	550	cafe
Батабат, кафе	Средний чек 400 р	Санкт-Петербург, Жукова, 18	59.9670086	30.3858911	400	cafe
Батабат, кафе	Средний чек 400 р	Санкт-Петербург, Жукова, 18	59.9670086	30.3858911	400	cafe
Березки, кафе	Средний чек 1000 р	Санкт-Петербург, Чкаловский проспект, 7	59.9665886	30.2999374	1000	cafe
Восток, кафе-бар	Средний чек 500 р	Санкт-Петербург, Народного Ополчения проспект, 209	59.8249011	30.1799806	500	cafe
Визави, кафе	Средний чек 500 р	Санкт-Петербург, Шаврова, 5 к3	60.0212316	30.227316	500	cafe
Вираж, гранд-кафе	Средний чек 300 р	Санкт-Петербург, Выборгское шоссе, 22 лит Б	60.1151778	30.2386215	300	cafe
Вояж, кафе	Средний чек 550 р	Санкт-Петербург, Московский проспект, 216	59.8488283	30.3221197	550	cafe
Восточное, кафе	Средний чек 1000 р	Санкт-Петербург, Коллонтай, 41	59.9198466	30.4665776	1000	cafe
Вираж, гранд-кафе	Средний чек 300 р	Санкт-Петербург, Выборгское шоссе, 22 лит Б	60.1151778	30.2386215	300	cafe
Веранда, ресторан	Средний чек 600 р	Санкт-Петербург, Невский проспект, 24	59.935872	30.3238187	600	cafe
+1, кафе	Средний чек 300 р	Санкт-Петербург, Приморский проспект, 72	59.9805065	30.2101964	300	cafe
Гамарджоба, кафе	Средний чек 700 р	Санкт-Петербург, Восстания, 16	59.9317256	30.3603232	700	cafe
Городовой, кафе-столовая	Средний чек 200 р	Санкт-Петербург, Большая Монетная, 18	59.9625768	30.3221476	200	cafe
Генацвале, кафе грузинской кухни	Средний чек 500 р	Санкт-Петербург, Лиговский проспект, 97	59.9228425	30.3550804	500	cafe
Гамарджоба, кафе	Средний чек 700 р	Санкт-Петербург, Восстания, 16	59.9317256	30.3603232	700	cafe
ИмпериаЛ, кафе	Средний чек 500 р	Санкт-Петербург, Смоленская, 1	59.9037738	30.3197933	500	cafe
Иверия, кафе	Средний чек 1200 р	Санкт-Петербург, Ленинский проспект, 176	59.8524944	30.3155931	1200	cafe
Грин, кафе	Средний чек 285 р	Санкт-Петербург, Ольминского, 14	59.8983967	30.4222126	285	cafe
Гала, бар	Средний чек 600 р	Санкт-Петербург, Индустриальный проспект, 17 к1	59.9438655	30.4792091	600	cafe
Генацвале, кафе грузинской кухни	Средний чек 500 р	Санкт-Петербург, Лиговский проспект, 97	59.9228425	30.3550804	500	cafe
D`Or, кафе	Средний чек 2000 р	Санкт-Петербург, Итальянская, 15	59.9358585	30.3334148	2000	cafe
Дубай, сеть кафе-баров	Средний чек 500 р	Санкт-Петербург, Большой проспект П.С., 77	59.9661519	30.3131246	500	cafe
Дворик, кафе	Средний чек 600 р	Санкт-Петербург, Кораблестроителей, 35 к7	59.9507337	30.2168869	600	cafe
Jefferson, гостиничный комплекс	Средний чек 800 р	Санкт-Петербург, Сердобольская, 7	59.9933677	30.3240448	800	cafe
