time,PSFC,u_10m,v_10m,t2m
2012-01-01 00:00:00,101155.1,2.3,6.0,-19.0
2012-01-01 01:00:00,101155.1,2.3,6.0,-19.0
2012-01-01 02:00:00,101155.1,2.3,6.0,-19.0
2012-01-01 03:00:00,101155.1,2.3,6.0,-19.0
2012-01-01 04:00:00,101155.1,2.3,6.0,-19.0
2012-01-01 05:00:00,101155.1,2.3,6.0,-19.0
2012-01-01 06:00:00,101058.8,2.2,6.0,-13.9
2012-01-01 07:00:00,101044.6,1.8,7.7,-14.2
2012-01-01 08:00:00,100894.4,1.2,7.5,-14.0
2012-01-01 09:00:00,100906.8,4.4,8.4,-12.4
2012-01-01 10:00:00,100908.5,4.1,7.9,-11.5
2012-01-01 11:00:00,100835.6,4.6,7.5,-10.5
2012-01-01 12:00:00,100797.5,5.6,7.4,-9.1
2012-01-01 13:00:00,100779.0,6.3,6.9,-8.3
2012-01-01 14:00:00,100778.1,6.6,6.1,-7.8
2012-01-01 15:00:00,100768.7,7.7,5.3,-7.5
2012-01-01 16:00:00,100782.9,8.5,4.4,-7.3
2012-01-01 17:00:00,100787.4,9.2,3.7,-7.2
2012-01-01 18:00:00,100801.0,9.8,2.9,-7.1
2012-01-01 19:00:00,100824.3,10.1,2.3,-7.0
2012-01-01 20:00:00,100862.8,10.1,1.9,-6.9
2012-01-01 21:00:00,100906.6,9.7,1.8,-6.9
2012-01-01 22:00:00,100957.6,9.1,1.6,-7.1
2012-01-01 23:00:00,101010.5,10.0,1.6,-6.3
2012-01-02 00:00:00,101055.6,10.5,1.8,-5.7
2012-01-02 01:00:00,101102.8,10.7,1.8,-5.0
2012-01-02 02:00:00,101147.6,11.0,2.0,-4.5
2012-01-02 03:00:00,101205.9,10.8,2.4,-4.4
2012-01-02 04:00:00,101271.5,11.0,2.9,-4.3
2012-01-02 05:00:00,101328.9,11.1,3.3,-4.3
2012-01-02 06:00:00,101379.8,11.0,3.6,-4.5
2012-01-02 07:00:00,101422.2,10.8,3.9,-4.6
2012-01-02 08:00:00,101450.7,11.0,4.2,-4.5
2012-01-02 09:00:00,101469.0,11.2,4.5,-4.4
2012-01-02 10:00:00,101484.0,11.3,4.7,-4.3
2012-01-02 11:00:00,101495.7,11.5,4.9,-4.2
2012-01-02 12:00:00,101500.8,11.7,5.1,-4.0
2012-01-02 13:00:00,101508.7,11.8,5.3,-4.0
2012-01-02 14:00:00,101519.4,11.8,5.3,-4.0
2012-01-02 15:00:00,101536.1,11.7,5.4,-4.0
2012-01-02 16:00:00,101548.7,11.5,5.6,-4.0
2012-01-02 17:00:00,101560.1,11.3,5.7,-4.0
2012-01-02 18:00:00,101571.0,11.1,5.9,-4.0
2012-01-02 19:00:00,101580.5,11.0,6.0,-4.0
2012-01-02 20:00:00,101591.4,10.9,6.0,-4.0
2012-01-02 21:00:00,101591.2,10.7,6.0,-4.0
2012-01-02 22:00:00,101575.6,10.6,5.9,-3.9
2012-01-02 23:00:00,101563.8,10.6,5.9,-3.9
2012-01-03 00:00:00,101547.8,10.5,5.8,-3.9
2012-01-03 01:00:00,101538.8,10.4,5.8,-3.9
2012-01-03 02:00:00,101519.6,10.4,5.8,-3.8
2012-01-03 03:00:00,101502.9,10.3,5.7,-3.7
2012-01-03 04:00:00,101483.4,10.3,5.7,-3.7
2012-01-03 05:00:00,101462.8,10.2,5.7,-3.6
2012-01-03 06:00:00,101437.0,10.2,5.7,-3.6
2012-01-03 07:00:00,101421.3,10.1,5.6,-3.5
2012-01-03 08:00:00,101426.6,10.1,5.4,-3.5
2012-01-03 09:00:00,101424.2,10.0,5.2,-3.5
2012-01-03 10:00:00,101414.4,9.9,5.0,-3.6
2012-01-03 11:00:00,101401.2,9.8,4.8,-3.6
2012-01-03 12:00:00,101393.8,9.8,4.5,-3.7
2012-01-03 13:00:00,101386.5,9.6,4.3,-3.8
2012-01-03 14:00:00,101387.8,9.4,4.2,-3.9
2012-01-03 15:00:00,101401.4,8.9,4.2,-4.1
2012-01-03 16:00:00,101421.2,8.8,4.4,-4.2
2012-01-03 17:00:00,101430.2,8.6,4.4,-4.3
2012-01-03 18:00:00,101448.8,8.5,4.6,-4.4
2012-01-03 19:00:00,101476.4,8.4,4.7,-4.5
2012-01-03 20:00:00,101506.3,8.0,4.5,-4.8
2012-01-03 21:00:00,101515.2,7.0,4.1,-5.4
2012-01-03 22:00:00,101525.6,6.9,4.1,-5.8
2012-01-03 23:00:00,101545.5,6.0,3.5,-6.4
2012-01-04 00:00:00,101565.4,5.3,3.3,-6.9
2012-01-04 01:00:00,101585.6,5.1,3.1,-7.3
2012-01-04 02:00:00,101611.7,5.1,3.1,-6.5
2012-01-04 03:00:00,101630.1,5.6,2.9,-5.9
2012-01-04 04:00:00,101635.2,5.3,2.6,-5.9
2012-01-04 05:00:00,101645.1,5.2,2.4,-5.7
2012-01-04 06:00:00,101649.0,5.2,2.5,-5.4
2012-01-04 07:00:00,101665.5,5.0,2.4,-5.5
2012-01-04 08:00:00,101681.1,5.0,2.3,-5.7
2012-01-04 09:00:00,101690.4,4.8,2.0,-5.8
2012-01-04 10:00:00,101700.2,4.5,1.7,-6.1
2012-01-04 11:00:00,101719.3,4.1,1.6,-6.5
2012-01-04 12:00:00,101722.0,3.9,1.5,-6.7
2012-01-04 13:00:00,101728.8,3.6,1.4,-6.8
2012-01-04 14:00:00,101729.7,3.2,1.4,-6.9
2012-01-04 15:00:00,101732.2,2.9,1.6,-7.0
2012-01-04 16:00:00,101735.7,2.6,1.7,-7.2
2012-01-04 17:00:00,101741.7,2.2,1.8,-7.3
2012-01-04 18:00:00,101747.4,1.7,1.9,-7.4
2012-01-04 19:00:00,101755.3,1.3,1.9,-7.5
2012-01-04 20:00:00,101760.5,1.0,1.9,-7.9
2012-01-04 21:00:00,101758.0,0.7,2.0,-8.6
2012-01-04 22:00:00,101778.5,0.4,2.0,-9.6
2012-01-04 23:00:00,101807.1,-0.1,2.0,-10.4
2012-01-05 00:00:00,101827.8,-0.6,2.0,-10.3
2012-01-05 01:00:00,101846.6,-1.2,2.2,-9.2
2012-01-05 02:00:00,101865.0,-1.9,2.5,-8.2
2012-01-05 03:00:00,101891.6,-2.4,2.7,-8.0
2012-01-05 04:00:00,101929.1,-2.7,3.0,-8.2
2012-01-05 05:00:00,101943.9,-3.4,3.4,-10.0
2012-01-05 06:00:00,101969.9,-3.7,3.2,-9.5
2012-01-05 07:00:00,101996.5,-4.0,3.4,-9.0
2012-01-05 08:00:00,102025.3,-4.0,3.6,-9.0
